asset_id,asset_tag,name,description,asset_type_id,status_id,location_id,assigned_to,purchase_date,purchase_cost,vendor_id,warranty_expiry,serial_number
1,LAP-1001,Dell Latitude 7440,,1,4,1,2,2024-03-12,1489.99,1,2027-03-12,SN-110001
2,LAP-1002,Lenovo ThinkPad X1 Carbon,,1,11,1,3,2023-11-02,1799.00,1,2026-11-02,SN-110002
3,LAP-1003,"Apple MacBook Pro 14""",,1,2,1,4,2024-01-25,2399.00,1,2027-01-25,SN-110003
4,MON-1101,Dell UltraSharp U2723QE,,2,7,1,5,2024-04-18,549.99,8,2026-04-18,SN-110004
5,MON-1102,"Samsung 27"" Curved Display",,2,13,4,6,2023-09-23,329.99,8,2025-09-23,SN-110005
6,MON-1103,"LG UltraWide 34"" Monitor",,2,1,1,7,2023-12-10,699.99,8,2026-12-10,SN-110006
7,FUR-1201,Ergonomic Office Chair,,3,9,3,8,2024-05-14,219.99,6,2028-05-14,SN-110007
8,FUR-1202,Standing Desk 60x30,,3,5,1,9,2024-02-06,389.49,6,2029-02-06,SN-110008
9,FUR-1203,Conference Table 10ft,,3,6,1,10,2024-06-22,1249.00,6,2030-06-22,SN-110009
10,PHN-1301,Poly VVX 450 VoIP Phone,,4,12,1,11,2023-07-18,265.00,7,2026-07-18,SN-110010
11,PHN-1302,Yealink SIP-T46U VoIP Phone,,4,8,1,12,2024-01-02,249.99,7,2027-01-02,SN-110011
12,PRN-1401,HP LaserJet Pro M404n,,5,3,2,13,2023-10-04,329.00,6,2026-10-04,SN-110012
13,SFT-1501,Microsoft 365 Business Standard,,5,6,1,14,2025-01-01,149.99,5,2026-01-01,SN-110013
14,SFT-1502,Adobe Creative Cloud License,,5,10,1,15,2024-09-12,599.88,5,2025-09-12,SN-110014
15,NET-1601,Ubiquiti UniFi Dream Machine Pro,,6,2,1,16,2024-03-30,479.99,5,2028-03-30,SN-110015
16,NET-1602,Cisco Catalyst 2960X-48FPS,,6,7,2,17,2023-06-19,1899.00,15,2027-06-19,SN-110016
17,NET-1603,Aruba Instant AP22 WiFi 6,,6,1,1,18,2024-04-29,179.99,5,2027-04-29,SN-110017
18,CAM-1701,Hikvision Dome Camera 4K,,7,6,5,19,2024-02-14,229.00,14,2028-02-14,SN-110018
19,CAM-1702,Logitech C930e Webcam,,7,11,1,20,2024-01-17,109.99,3,2026-01-17,SN-110019
20,SRV-1801,Dell PowerEdge R750,,8,4,3,21,2023-08-27,10899.00,1,2028-08-27,SN-110020
21,SRV-1802,HPE ProLiant DL380 Gen10,,8,5,3,22,2023-11-14,9450.00,1,2028-11-14,SN-110021
22,TOO-1901,Milwaukee Cordless Drill Kit,,9,13,2,23,2024-05-03,299.00,14,2027-05-03,SN-110022
23,MOB-2001,iPad Air 5th Gen,,10,9,1,24,2024-06-05,749.00,1,2027-06-05,SN-110023
24,MOB-2002,iPhone 14,,10,3,1,25,2023-12-05,899.99,1,2026-12-05,SN-106061
25,MOB-2003,Samsung Galaxy S23,,10,8,1,26,2024-03-10,799.99,1,2027-03-10,SN-107374
26,AST-1025,Laptop Dell Latitude 5540,,1,12,2,27,2024-02-11,1425.00,1,2026-02-11,SN-108384
27,AST-1026,Laptop Dell Latitude 5540,,1,10,2,28,2024-03-03,1399.99,1,2026-03-03,SN-106263
28,AST-1027,Workstation HP Z2 Tower G9,,2,4,1,29,2023-07-18,2249.50,4,2026-07-18,SN-107879
29,AST-1028,Workstation HP Z2 Tower G9,,2,1,1,30,2023-07-18,2249.50,4,2026-07-18,SN-108586
30,AST-1029,iPad Pro 12.9 256GB,,3,6,4,2,2024-01-12,1099.00,5,2025-01-12,SN-105152
31,AST-1030,Samsung Galaxy Tab S9 256GB,,3,2,4,3,2024-01-14,988.49,5,2025-01-14,SN-108283
32,AST-1031,Brother HL-L9310CDW,,4,5,6,4,2023-02-20,629.95,6,2026-02-20,SN-107071
33,AST-1032,Canon imageRUNNER C3830i,,4,11,6,5,2024-04-09,4529.00,6,2027-04-09,SN-106768
34,AST-1033,Network Switch Cisco SG350X-48,,5,7,1,6,2023-11-20,1475.65,11,2028-11-20,SN-109091
35,AST-1034,Network Switch Cisco SG350X-48,,5,4,3,7,2023-11-20,1475.65,11,2028-11-20,SN-107475
36,AST-1035,Ubiquiti UniFi U6 Enterprise AP,,6,9,3,8,2024-06-22,349.00,8,2027-06-22,SN-105051
37,AST-1036,Ubiquiti UniFi U6 Enterprise AP,,6,3,3,9,2024-06-22,349.00,8,2027-06-22,SN-108182
38,AST-1037,Ubiquiti UniFi U6 Enterprise AP,,6,13,3,10,2024-06-22,349.00,8,2027-06-22,SN-108788
39,AST-1038,Polycom VVX 450 Desk Phone,,7,12,2,11,2023-10-30,245.00,14,2025-10-30,SN-105556
40,AST-1039,Polycom VVX 450 Desk Phone,,7,8,2,12,2023-10-30,245.00,14,2025-10-30,SN-108990
41,AST-1040,Polycom VVX 450 Desk Phone,,7,10,4,13,2023-10-30,245.00,14,2025-10-30,SN-106465
42,AST-1041,Polycom VVX 450 Desk Phone,,7,8,4,14,2023-10-30,245.00,14,2025-10-30,SN-106667
43,AST-1042,Epson Pro EX9240 Projector,,8,2,5,15,2023-05-11,789.00,13,2026-05-11,SN-105354
44,AST-1043,Epson Pro EX9240 Projector,,8,6,5,16,2023-05-11,789.00,13,2026-05-11,SN-107980
45,AST-1044,"Samsung 65"" QLED QN90C",,9,1,5,17,2024-02-03,1699.99,3,2026-02-03,SN-106162
46,AST-1045,"Samsung 65"" QLED QN90C",,9,5,5,18,2024-02-03,1699.99,3,2026-02-03,SN-107172
47,AST-1046,APC Smart-UPS SRT 3000VA,,10,9,1,19,2024-07-15,2189.00,14,2029-07-15,SN-106364
48,AST-1047,APC Smart-UPS SRT 3000VA,,10,3,1,20,2024-07-15,2189.00,14,2029-07-15,SN-107576
49,AST-1048,Ring Indoor Security Camera,,11,11,6,21,2024-05-19,78.99,14,2025-05-19,SN-108081
50,AST-1049,Ring Indoor Security Camera,,11,7,6,22,2024-05-19,78.99,14,2025-05-19,SN-109798
51,AST-1050,Laptop A,,1,13,1,23,2024-02-15,1450.00,1,2027-02-15,SN-108687
52,AST-1051,Laptop B,,1,4,1,24,2024-03-22,1325.50,2,2027-03-22,SN-109899
53,AST-1052,Office Chair 1,,4,12,4,25,2022-11-10,250.00,2,2027-11-10,SN-105657
54,AST-1053,Office Desk 1,,4,8,4,26,2023-01-18,475.00,2,2028-01-18,SN-108283
55,AST-1054,Software License X,,5,10,1,27,2023-06-30,899.99,3,2026-06-30,SN-108081
56,AST-1055,Router 1,,6,13,2,28,2023-07-12,320.00,6,2026-07-12,SN-107374
57,AST-1056,Switch 1,,6,1,2,29,2023-08-03,450.00,6,2026-08-03,SN-109192
58,AST-1057,Domain securehub.com,,7,6,1,30,2022-12-01,12.99,7,2023-12-01,SN-107778
59,AST-1058,Laptop C,,1,2,1,2,2024-01-10,1520.00,1,2027-01-10,SN-105455
60,AST-1059,Printer 1,,4,5,1,3,2023-03-15,220.00,2,2028-03-15,SN-106970
61,AST-1060,Desktop A,,1,9,1,4,2023-09-12,1300.00,1,2026-09-12,SN-108889
62,AST-1061,Laptop D,,1,3,1,5,2024-02-20,1420.00,1,2027-02-20,SN-107273
63,AST-1062,Software License Y,,5,11,1,6,2023-07-07,499.99,3,2026-07-07,SN-109495
64,AST-1063,Office Chair 2,,4,7,4,7,2023-04-15,240.00,2,2028-04-15,SN-106566
65,AST-1064,Laptop E,,1,13,1,8,2024-01-28,1350.00,1,2027-01-28,SN-109900
66,AST-1065,Router 2,,6,4,2,9,2023-08-25,350.00,6,2026-08-25,SN-105253
67,AST-1066,Switch 2,,6,12,2,,2023-09-05,460.00,6,2026-09-05,SN-105758
68,AST-1067,Domain companyhub.net,,7,8,1,,2023-01-01,14.99,7,2024-01-01,SN-106869
69,AST-1068,Software License Z,,5,10,1,,2023-05-12,399.99,3,2026-05-12,SN-107576
70,AST-1069,Laptop F,,1,12,1,,2024-03-18,1495.00,1,2027-03-18,SN-108384
71,AST-1070,Desktop B,,1,2,1,,2023-10-12,1280.00,1,2026-10-12,SN-107879
72,AST-1071,Printer 2,,4,6,1,,2023-06-20,230.00,2,2028-06-20,SN-107677
73,AST-1072,Laptop G,,1,1,1,,2024-02-25,1400.00,1,2027-02-25,SN-108990
74,AST-1073,Office Desk 2,,4,5,4,,2023-03-10,500.00,2,2028-03-10,SN-107172
75,AST-1074,Router 3,,6,9,2,,2023-11-05,370.00,6,2026-11-05,SN-107071
76,AST-1075,Laptop H,,1,3,1,,2024-03-05,1460.00,1,2027-03-05,SN-106061
77,AST-1076,Desktop C,,1,11,1,,2023-12-12,1295.00,1,2026-12-12,SN-107495
78,AST-1077,Printer 3,,4,7,1,,2023-07-18,225.00,2,2028-07-18,SN-106263
79,AST-1078,Laptop I,,1,13,1,,2024-01-22,1380.00,1,2027-01-22,SN-105859
80,AST-1079,Software License A,,5,4,1,,2023-09-30,499.99,3,2026-09-30,SN-108182
81,AST-1080,Router 4,,6,12,2,,2023-10-05,360.00,6,2026-10-05,SN-108586
82,AST-1081,Switch 3,,6,8,2,,2023-11-10,480.00,6,2026-11-10,SN-109091
83,AST-1082,Domain shoponline.com,,7,10,1,,2024-02-01,15.99,7,2025-02-01,SN-106162
84,AST-1083,Laptop J,,1,3,1,,2024-03-18,1500.00,1,2027-03-18,SN-106364
85,AST-1084,Desktop D,,1,1,1,,2023-10-28,1310.00,1,2026-10-28,SN-107980
86,AST-1085,Printer 4,,4,6,1,,2023-08-14,235.00,2,2028-08-14,SN-105051
87,AST-1086,Laptop K,,1,2,1,,2024-01-05,1425.00,1,2027-01-05,SN-106465
88,AST-1087,Office Desk 3,,4,5,4,,2023-04-22,510.00,2,2028-04-22,SN-107677
89,AST-1088,Router 5,,6,9,2,,2023-11-18,380.00,6,2026-11-18,SN-107778
90,AST-1089,Laptop L,,1,3,1,,2024-02-12,1480.00,1,2027-02-12,SN-108687
91,AST-1090,Software License B,,5,11,1,,2023-06-25,399.99,3,2026-06-25,SN-108788
92,AST-1091,Laptop M,,1,7,1,,2024-01-30,1395.00,1,2027-01-30,SN-107879
93,AST-1092,Desktop E,,1,13,1,,2023-12-15,1275.00,1,2026-12-15,SN-109192
94,AST-1093,Printer 5,,4,4,1,,2023-09-12,240.00,2,2028-09-12,SN-105152
95,AST-1094,Laptop N,,1,12,1,,2024-03-05,1410.00,1,2027-03-05,SN-108283
96,AST-1095,Router 6,,6,8,2,,2023-10-20,390.00,6,2026-10-20,SN-109899
97,AST-1096,Switch 4,,6,10,2,,2023-11-22,470.00,6,2026-11-22,SN-106667
98,AST-1097,Domain ecommercehub.net,,7,1,1,,2024-01-01,16.99,7,2025-01-01,SN-109900
99,AST-1098,Software License C,,5,12,1,,2023-07-10,449.99,3,2026-07-10,SN-106566
100,AST-1099,Laptop O,,1,3,1,,2024-02-20,1455.00,1,2027-02-20,SN-105354
