asset_tag,name,asset_type,status,location,vendor,assigned_to,purchase_date,purchase_cost,serial_number,warranty_expiry
AST-1000,securehub.org,Website Domain Name,In Storage,Main Office,TechSource Solution,,2023-12-19,3686.33,SN-886526,2026-03-20
AST-1001,Reception Sofa Set,Office Furniture,Disposed,Repair Workshop,Precision Audio Visual,,2024-08-02,2569.28,SN-492362,2026-07-06
AST-1002,Ergonomic Office Chair,Office Furniture,Disposed,Storage Warehouse,OfficeWorks Supply Co.,,2021-11-05,120.12,SN-500973,2025-07-18
AST-1003,Filing Cabinet 4-Drawer,Office Furniture,In Use,Repair Workshop,Precision Audio Visual,,2019-08-21,3074.51,SN-605709,2027-02-02
AST-1004,Microsoft 365 Business,Software License,Lost,Storage Warehouse,OfficeWorks Supply Co.,,2025-01-14,1892.76,SN-142130,2027-08-24
AST-1005,MacBook Air M2,Laptop,In Storage,Retail Front,Gulf Coast IT Hardware,,2021-11-15,4313.64,SN-745974,2026-11-24
AST-1006,Slack Enterprise Plan,Software License,Pending Disposal,Main Office,TechSource Solution,,2020-09-26,3824.18,SN-851765,2027-09-11
AST-1007,Netgear Nighthawk Router,Networking Equipment,Lost,Storage Warehouse,Precision Audio Visual,,2023-08-10,912.77,SN-861170,2025-06-15
AST-1008,Fortinet Firewall 100E,Networking Equipment,Stolen,Storage Warehouse,OfficeWorks Supply Co.,,2021-04-04,3356.76,SN-888998,2027-02-03
AST-1009,Microsoft 365 Business,Software License,Under Maintenance,Storage Warehouse,TechSource Solution,,2024-12-06,2366.81,SN-549455,2028-12-20
AST-1010,Filing Cabinet 4-Drawer,Office Furniture,In Use,Retail Front,TechSource Solution,,2021-01-27,2169.47,SN-756454,2026-08-29
AST-1011,AutoCAD Subscription,Software License,In Use,Storage Warehouse,Gulf Coast IT Hardware,,2025-03-19,3797.41,SN-127823,2027-10-31
AST-1012,HP ProBook 450 G9,Laptop,Under Maintenance,Repair Workshop,TechSource Solution,,2024-12-25,3731.86,SN-680675,2025-04-10
AST-1013,TP-Link Gigabit Hub,Networking Equipment,Disposed,Repair Workshop,TechSource Solution,,2019-08-15,4144.19,SN-933581,2025-07-17
AST-1014,Standing Desk 48in,Office Furniture,Under Maintenance,Storage Warehouse,TechSource Solution,,2024-10-01,4781.69,SN-809031,2025-11-13
AST-1015,Microsoft 365 Business,Software License,In Use,Storage Warehouse,OfficeWorks Supply Co.,,2019-10-07,1319.26,SN-228949,2025-11-14
AST-1016,Ubiquiti UniFi Access Point,Networking Equipment,Stolen,Repair Workshop,Precision Audio Visual,,2022-02-21,1273.3,SN-265386,2026-11-10
AST-1017,Conference Table Oak,Office Furniture,Under Maintenance,Repair Workshop,Gulf Coast IT Hardware,,2022-06-12,3734.48,SN-210197,2027-10-18
AST-1018,HP ProBook 450 G9,Laptop,Pending Disposal,Retail Front,Precision Audio Visual,,2023-05-17,839.54,SN-716598,2025-05-02
AST-1019,TP-Link Gigabit Hub,Networking Equipment,Lost,Repair Workshop,OfficeWorks Supply Co.,,2019-10-16,2653.13,SN-456106,2025-10-08
AST-1020,Dell Latitude 5530,Laptop,Pending Disposal,Retail Front,Precision Audio Visual,,2025-10-26,2403.03,SN-791400,2027-03-07
AST-1021,Ergonomic Office Chair,Office Furniture,Under Maintenance,Repair Workshop,Gulf Coast IT Hardware,,2021-07-07,3820.48,SN-653484,2028-12-25
AST-1022,Adobe Creative Cloud,Software License,Disposed,Main Office,TechSource Solution,,2019-11-24,1594.31,SN-775563,2028-03-24
AST-1023,QuickBooks Pro License,Software License,In Use,Main Office,Precision Audio Visual,,2024-05-01,4336.72,SN-244087,2027-01-26
AST-1024,Ubiquiti UniFi Access Point,Networking Equipment,In Use,Main Office,OfficeWorks Supply Co.,,2022-11-12,1458.74,SN-506638,2028-10-31
AST-1025,Dell Latitude 5530,Laptop,In Storage,Main Office,Precision Audio Visual,,2024-08-12,3477.36,SN-165267,2025-10-02
AST-1026,supportportal.net,Website Domain Name,In Storage,Retail Front,OfficeWorks Supply Co.,,2021-06-25,3650.56,SN-904605,2026-12-05
AST-1027,AutoCAD Subscription,Software License,Pending Disposal,Repair Workshop,OfficeWorks Supply Co.,,2021-04-30,1235.8,SN-833811,2025-07-24
AST-1028,supportportal.com,Website Domain Name,Disposed,Retail Front,TechSource Solution,,2025-10-06,3813.34,SN-453452,2025-06-20
AST-1029,Adobe Creative Cloud,Software License,Under Maintenance,Main Office,OfficeWorks Supply Co.,,2020-03-08,4042.56,SN-337683,2025-07-03
AST-1030,securehub.org,Website Domain Name,Pending Disposal,Storage Warehouse,TechSource Solution,,2019-10-08,1576.12,SN-762984,2026-03-05
AST-1031,Slack Enterprise Plan,Software License,Stolen,Storage Warehouse,Gulf Coast IT Hardware,,2019-08-23,759.27,SN-711211,2027-02-20
AST-1032,Filing Cabinet 4-Drawer,Office Furniture,In Use,Retail Front,OfficeWorks Supply Co.,,2023-11-14,3613.15,SN-224122,2027-10-20
AST-1033,TP-Link Gigabit Hub,Networking Equipment,Disposed,Repair Workshop,Gulf Coast IT Hardware,,2020-08-03,3222.75,SN-578016,2027-08-17
AST-1034,MacBook Air M2,Laptop,In Storage,Retail Front,TechSource Solution,,2024-07-19,485.92,SN-567948,2026-11-12
AST-1035,Filing Cabinet 4-Drawer,Office Furniture,Disposed,Main Office,TechSource Solution,,2022-06-28,2691.0,SN-766195,2026-07-11
AST-1036,Cisco Catalyst 2960 Switch,Networking Equipment,Disposed,Storage Warehouse,TechSource Solution,,2024-01-18,3189.27,SN-564003,2025-05-29
AST-1037,techsource.biz,Website Domain Name,Lost,Retail Front,Precision Audio Visual,,2020-02-29,844.2,SN-863719,2025-05-20
AST-1038,Ubiquiti UniFi Access Point,Networking Equipment,In Storage,Storage Warehouse,Precision Audio Visual,,2021-08-28,2600.09,SN-699244,2026-09-18
AST-1039,companysite.com,Website Domain Name,Under Maintenance,Repair Workshop,Precision Audio Visual,,2023-08-18,400.89,SN-561459,2028-12-11
AST-1040,Acer TravelMate P4,Laptop,Pending Disposal,Main Office,Precision Audio Visual,,2019-03-22,4078.81,SN-430027,2027-03-24
AST-1041,TP-Link Gigabit Hub,Networking Equipment,Under Maintenance,Retail Front,OfficeWorks Supply Co.,,2020-05-05,4034.36,SN-711893,2027-10-25
AST-1042,MacBook Air M2,Laptop,Disposed,Storage Warehouse,TechSource Solution,,2023-10-24,2835.1,SN-839211,2026-04-19
AST-1043,Cisco Catalyst 2960 Switch,Networking Equipment,Stolen,Retail Front,Gulf Coast IT Hardware,,2025-05-06,4841.27,SN-676112,2028-02-02
AST-1044,Acer TravelMate P4,Laptop,Stolen,Retail Front,Gulf Coast IT Hardware,,2021-05-21,4122.43,SN-127702,2027-12-21
AST-1045,securehub.org,Website Domain Name,Lost,Main Office,TechSource Solution,,2023-09-29,2501.02,SN-245542,2026-12-08
AST-1046,TP-Link Gigabit Hub,Networking Equipment,Disposed,Main Office,OfficeWorks Supply Co.,,2020-08-31,3054.82,SN-811038,2025-08-07
AST-1047,MacBook Air M2,Laptop,In Storage,Retail Front,Precision Audio Visual,,2024-08-03,3660.94,SN-658990,2025-02-23
AST-1048,MacBook Air M2,Laptop,Lost,Retail Front,Gulf Coast IT Hardware,,2019-06-29,1154.25,SN-334405,2025-11-26
AST-1049,Acer TravelMate P4,Laptop,Disposed,Repair Workshop,Precision Audio Visual,,2025-04-05,1093.46,SN-935090,2028-05-28
